"","Acc","Recall","Pre","FPR","Fmeasure","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"26",0.8059,0.15702479338843,0.0102260495156082,0.186152444579411,0.0192016169782719,0.8063,0.184,0.0123789020452099,0.185822784810127,0.0231971759959657
"27",0.8038,0.15,0.00958466453674121,0.188259109311741,0.018018018018018,0.8043,0.184,0.0122470713525027,0.187848101265823,0.0229655516724913
"28",0.8205,0.19672131147541,0.0139453805926787,0.17179591010326,0.0260444926749864,0.8208,0.216,0.0156885531667635,0.171544303797468,0.0292524377031419
"29",0.8219,0.203252032520325,0.0146370023419204,0.17039586919105,0.0273074822501365,0.8221,0.216,0.015807962529274,0.170227848101266,0.0294599018003273
"30",0.8073,0.151260504201681,0.00976138828633406,0.184799109401882,0.0183392766174223,0.8079,0.192,0.0130151843817787,0.184303797468354,0.0243778567800914
"31",0.8051,0.147540983606557,0.00966183574879227,0.186778700141729,0.0181360201511335,0.8054,0.168,0.0112721417069243,0.18653164556962,0.0211267605633803
"32",0.8235,0.195121951219512,0.0142011834319527,0.168674698795181,0.0264754550468836,0.8237,0.208,0.0153846153846154,0.168506329113924,0.0286501377410468
"33",0.824,0.133333333333333,0.00956937799043062,0.167611336032389,0.0178571428571429,0.8245,0.168,0.0125598086124402,0.167189873417722,0.0233722871452421
"34",0.8192,0.183333333333333,0.01270207852194,0.173076923076923,0.0237580993520518,0.8197,0.216,0.0155889145496536,0.172658227848101,0.0290791599353796
"35",0.8128,0.161290322580645,0.0111856823266219,0.179019846091535,0.0209205020920502,0.8129,0.168,0.011744966442953,0.178936708860759,0.021955044432828
"36",0.8141,0.145299145299145,0.00957207207207207,0.177982394009916,0.0179609086106709,0.8149,0.2,0.0140765765765766,0.177316455696203,0.0263019463440295
"37",0.8151,0.117647058823529,0.00796359499431172,0.17650035421516,0.014917421417155,0.8157,0.16,0.0113765642775882,0.176,0.0212426978226235
"38",0.8022,0.166666666666667,0.0105374077976818,0.190080971659919,0.0198216055500496,0.8027,0.2,0.0131717597471022,0.189670886075949,0.0247157686604053
"39",0.8156,0.151260504201681,0.010221465076661,0.176399149883615,0.0191489361702128,0.8162,0.192,0.0136286201022147,0.175898734177215,0.0254506892895016
"40",0.8138,0.159663865546218,0.0106681639528355,0.178322032182977,0.02,0.8144,0.2,0.0140370578326783,0.177822784810127,0.0262329485834208
"41",0.8136,0.133333333333333,0.00900900900900901,0.178137651821862,0.0168776371308017,0.8141,0.168,0.0118243243243243,0.177721518987342,0.0220936349289847
"42",0.8035,0.152542372881356,0.00955921402018056,0.188726978344465,0.0179910044977511,0.8042,0.2,0.0132766861391397,0.188151898734177,0.0249003984063745
"43",0.8197,0.159663865546218,0.0110336817653891,0.172350976621799,0.0206409560021727,0.8203,0.2,0.0145180023228804,0.171848101265823,0.0270709258256632
"44",0.8296,0.158333333333333,0.0117139334155364,0.162246963562753,0.0218140068886338,0.8301,0.192,0.0147965474722565,0.161822784810127,0.0274756725815684
"45",0.801,0.130434782608696,0.0078740157480315,0.191198786039454,0.0148514851485149,0.802,0.2,0.0131233595800525,0.190379746835443,0.0246305418719212
"46",0.8177,0.152542372881356,0.0103388856978748,0.174357417526816,0.0193652501344809,0.8184,0.2,0.0143595634692705,0.173772151898734,0.0267952840300107
