,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
S30,4.53032560394365,2.61246012131773,2.65628364018159,2.17414517458966,0.586396920402549,2.65677817902804,6.50914019711687,6.66705943229056,1.19603801956277,1.52838424652699,0.949927898492738,0.287272565347353,3.00525152977803,3.26212733771364,3.53444902145473,1.7277488755125,5.58400156379097,0.0113520253600924,2.24770515063609,2.31025950161633
S31,5.01226022625759,3.82350356917862,1.12854582776631,3.51988243600744,1.4880829791736,6.1697512392538,3.53435949392039,2.00872842258323,3.91008110196717,2.80883857806018,6.90409904725035,6.49956799391682,3.93635419086112,5.29921065165,5.82857828270801,2.1355856431296,10.0942763544836,0.102793127127005,2.62992165048237,5.33042116939283
S32,6.78989020195485,1.15889481236318,1.75260422339402,5.70648895624371,1.12393166663533,6.80380778530109,5.55795188880265,2.55068477402995,3.46622887795508,3.13075514572394,3.5488243762175,5.58689431746728,4.0971299845918,4.67613088031887,6.3416238453109,4.6869856774344,12.6015342221055,0.23209159591967,2.95843084020823,3.54001730708947
S33,5.2240788525883,5.42451352891938,4.19109855993906,1.3376480048245,5.38672456442523,5.99332226083328,3.96514848757398,1.65459190343987,3.33879140586293,5.70380084600407,3.21376798292933,6.07767602056986,3.42631061569531,7.64415064757812,3.97158229235933,3.52126829337236,7.12475105300208,0.26075309539373,1.67378231195608,0.722635280361921
S34,6.33832089599515,3.4555195170471,3.23399191803963,1.65552399079281,3.01051024257875,3.6504086584795,5.39975188335774,2.89779259649344,3.48956584066539,2.93936534274767,3.79149989462462,3.11165558360482,3.82324772679884,3.63298479780862,2.32568067602847,2.81883290088006,5.4664237817981,0.180749545236811,3.75188975932487,4.62677540866039
S35,2.09724298712196,3.1748376659145,0.797554684107675,3.54531553063429,5.71309633847481,3.14852789907903,7.3799895719265,1.09347474512965,2.47566160762737,3.77010907426914,0.958151788589029,5.09426540877192,4.0197354446982,4.95309282991122,6.58595716612858,2.26733443816208,8.05349988332594,0.311247369790762,3.80989012665487,0.0131716590418525
S36,3.8441321996428,2.46421760535014,0.954119754122745,0.277252397569919,0.692579439386944,2.08872994154154,5.76594706877112,4.9475272147748,1.20095113418329,1.51564014563426,0.370025064429507,0.630454247077287,3.6752164606786,1.67290949751224,2.8235472038546,1.93587391799727,8.47616119340945,0.174206078233664,3.28678689337691,2.76329317174966
S37,7.17198221289565,5.39876941330755,2.03357322864763,0.0454960526790209,10.4990199699687,3.65009520322095,5.95642285351416,7.58342003162148,4.44621011452091,2.37954014177983,2.84819454706337,5.80866407231638,4.09127520132448,2.91096768108836,2.17823327612865,3.24563225317289,5.21192103655279,1.04195355666491,4.17893691318498,5.34444938168425
S38,2.07118215030117,3.28599938361133,1.00019135470001,3.9385953303567,5.00667744755279,4.05776624532365,7.99029222768445,0.805817367794321,2.58826668944005,4.16607403790203,1.32981753960558,4.70373448876881,4.02459364076286,5.90160356668062,7.45134312837741,2.28011316874222,7.82501222183739,0.243975469090814,4.21408751647379,0.78353684422425
S39,7.88843770482692,5.61393582745801,3.54561818759596,0.920588830609126,7.31703625906946,3.29167362065502,5.05513765257663,7.42885585792016,3.97828506473855,3.97871476333058,3.91448111133526,7.92049200424483,4.35397283865848,2.80987317104377,2.73644066321806,2.90989888282795,7.93446088396845,1.16778129355629,5.22404044463576,3.54041375613306
S40,4.34779025779341,2.38067812419551,2.32234113244853,1.89796552042684,0.104373665021071,1.46379332441555,6.81054958080396,6.10041377679808,2.14484865976952,3.84120917296329,0.867156150985643,2.8705412498089,2.79061588533495,3.47505038530371,3.78279483728515,1.84415713627039,6.63838068023825,0.797809139596396,1.83938642626978,0.358974797566234
S41,2.23092086223572,3.27763642652967,0.354622573619789,4.04800307148257,4.56451089798984,4.00050681774565,7.57553565446105,0.804289873163235,1.96162231827478,4.15699521066001,1.30708193106128,4.73261426797546,4.14640356278051,5.42912772596415,7.79969739339623,2.53742447347076,7.54508872556516,0.0739846840411082,4.10529553008804,0.684620101816794
S42,3.47461186676,1.87913912179986,2.00530268902024,4.34801438383246,1.45051152976572,6.5409986116931,6.3798989856112,2.44100405808258,3.23230004083171,4.19395318993764,0.577671975685793,4.83767292667465,4.23551414767011,4.74801813485528,4.12692459683251,5.29961903011742,10.8243507964918,0.108109545680397,2.15566850759033,4.06978599386126
S43,2.27044058328238,4.90621918663163,1.71274607525567,3.91589832476782,1.86208816175679,7.07420969763334,6.88061584110121,2.21302745425815,1.10151420669036,3.96495286123432,0.977008339270564,5.90360357211505,3.78148677857272,4.19370155764498,5.49993978884466,2.49829440379053,10.4881672791533,0.412630353260204,5.05609667159776,2.95992458033196
S44,5.70254339456894,2.18866008221681,0.675027509239485,0.505893096164812,0.429351189679873,0,5.41565134528975,3.47867162143772,1.19075492508563,0.167547072712451,2.06936260953945,1.06407573090337,3.59439760021268,2.40602289757997,3.18349523249885,2.16546828745089,2.63147293451353,0.412808709845779,1.48199995359621,6.00986932832462
S45,5.251188691976,1.03976768503668,0.804543492996717,0.607526107989205,1.53334035431451,0.80031887675974,4.58536246590283,3.88838041866288,1.71678258319983,0.910245121572459,1.846351388878,2.27430587425918,2.63691685384715,3.06684676151443,1.91046846225843,2.22257843313892,3.72850826979991,1.00280077115117,2.49144156329984,5.34630191542725
S46,4.99674591448762,1.54326264335481,1.5596122445669,1.67289843585824,3.03481768523132,1.73256008010228,5.37586040120028,5.65788601116144,3.0560835604033,0.887235532077447,2.20397871933582,3.41531324793405,2.28817774491157,2.62371497890883,1.82153827203099,2.44802408198916,4.13050998756186,0.524527843323975,2.02920164299308,6.39389937943546
S47,5.07275286157014,6.39870493098952,3.16511144786407,1.08980490121271,6.27246202003061,4.37971477706555,5.35808779465346,2.25148770663713,5.20719283731883,5.55933877972993,3.70369800294903,8.36270110810996,3.02510496320861,4.51270631316821,4.80495985497232,3.21432984803463,6.77735754979267,0.838162949044131,1.4943607508198,1.20614884632005
S48,4.89761836786584,1.51891852290064,1.57446652524851,1.18329564218682,2.16238540797582,1.18167234911791,5.77570488613746,5.44684820471671,2.5505597842695,1.05700265554156,1.88199504351666,2.69401298871347,2.89031739822371,2.40493133147597,1.72516403290711,2.81119970981962,3.38436696563907,0.772887680785033,1.72893197066644,5.50938245618888
