"","min","max","links","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"11",3,22,769,0.413070884725956,0.0283374853926291,0.6504,0.111111111111111,0.0195058517555267,0.318816067653277,0.0331858407079646,0.398093030518818,0.0345596276164826,0.6484,0.0769230769230769,0.0130039011703511,0.320253164556962,0.0222469410456062
"12",3,22,739,0.482086841623479,0.0330561280225183,0.6648,0.148936170212766,0.0284167794316644,0.304366256888512,0.0477272727272727,0.468581954741231,0.0302692750561978,0.6584,0.04,0.006765899864682,0.309052631578947,0.0115740740740741
"13",5,24,744,0.410947390607341,0.0272421247275494,0.662,0.131386861313869,0.0241935483870968,0.307236563690224,0.0408626560726447,0.397502154587788,0.0339796954347482,0.6604,0.105263157894737,0.0188172043010753,0.308407266582172,0.031927023945268
"14",3,24,756,0.439296764888917,0.0338704674120791,0.6624,0.166666666666667,0.0291005291005291,0.309966216216216,0.0495495495495495,0.426386230901478,0.0407868185013436,0.6592,0.112903225806452,0.0185185185185185,0.312289562289562,0.0318181818181818
"15",3,20,772,0.440749950440736,0.0296439966926609,0.652,0.144927536231884,0.0259067357512953,0.318374259102456,0.043956043956044,0.404499893301112,0.0280975078668966,0.6468,0.056,0.00906735751295337,0.322105263157895,0.0156075808249721
"16",4,20,759,0.447254470247207,0.0383018187839103,0.6612,0.176470588235294,0.0316205533596838,0.310913705583756,0.0536312849162011,0.403936734932696,0.0322189418104053,0.656,0.0894308943089431,0.0144927536231884,0.314682372738746,0.0249433106575964
"17",4,26,736,0.44617950059862,0.0248908751265167,0.6632,0.104477611940299,0.0190217391304348,0.305156382079459,0.032183908045977,0.422364977911435,0.0261686493283916,0.6596,0.04,0.00679347826086957,0.307789473684211,0.0116144018583043
"18",5,22,754,0.445693749758017,0.0357464928099771,0.6608,0.143939393939394,0.0251989389920424,0.310388513513513,0.0428893905191874,0.397020509937845,0.0276527945063414,0.656,0.0583333333333333,0.00928381962864721,0.313865546218487,0.0160183066361556
"19",3,22,749,0.440828163854219,0.0335758051807156,0.6636,0.166666666666667,0.0307076101468625,0.307366638441998,0.0518602029312289,0.392479114002618,0.029448952947474,0.6576,0.0650406504065041,0.0106809078771696,0.311737484223812,0.018348623853211
"20",3,23,748,0.408885946330943,0.0239417743592154,0.6596,0.106870229007634,0.018716577540107,0.309835373575348,0.0318543799772469,0.368018677475353,0.0256199543973448,0.6552,0.025,0.00401069518716578,0.313025210084034,0.00691244239631336
"21",4,19,686,0.448798133948422,0.0326578213308027,0.6868,0.140740740740741,0.0276967930029155,0.282029598308668,0.0462850182704019,0.410990647192904,0.0322549399730391,0.6832,0.0793650793650794,0.0145772594752187,0.28475147430497,0.0246305418719212
"22",3,21,694,0.430807498620665,0.0295318279917388,0.6824,0.13768115942029,0.0273775216138329,0.285774767146486,0.0456730769230769,0.398813597653589,0.0309413312828728,0.6788,0.0775193798449612,0.0144092219020173,0.288485870940531,0.0243013365735115
"23",5,20,680,0.43242118553481,0.0296482944029701,0.686,0.127659574468085,0.0264705882352941,0.280627384484951,0.0438489646772229,0.392974281765382,0.0289366308308569,0.6812,0.0465116279069767,0.00882352941176471,0.284268241248418,0.0148331273176761
