"","min","max","links","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"11",5,48,2893,0.431809969000818,0.0186078768059433,0.6876,0.146788990825688,0.0165917732457656,0.294117647058824,0.0298136645962733,0.395056273919582,0.0183063240677034,0.6847,0.063758389261745,0.00656757690978223,0.296227581941868,0.0119084926355374
"12",5,38,2621,0.438371714388323,0.0175101031998994,0.7139,0.12962962962963,0.0160244181610072,0.266535758577925,0.0285229202037351,0.412822726564639,0.018840898482179,0.7121,0.0784313725490196,0.00915681037771843,0.267897668661027,0.0163990433891356
"13",4,41,2914,0.437840207067938,0.01653857916195,0.6845,0.129230769230769,0.0144131777625257,0.296847545219638,0.0259339302253782,0.418688168839977,0.018884327512462,0.6823,0.066006600660066,0.00686341798215511,0.298442817366196,0.0124339446689462
"14",4,40,2767,0.423488152741501,0.0163752844937694,0.6978,0.121661721068249,0.0148174918684496,0.282107006105764,0.0264175257731959,0.382126574137594,0.0164995751943205,0.6947,0.0326797385620915,0.00361402240693892,0.284402723334021,0.00650829808005207
"15",5,43,2721,0.438932607400721,0.0195375460096724,0.703,0.137026239067055,0.0172730613744947,0.276897587242415,0.0306788511749347,0.407402388086412,0.0204017822643749,0.7005,0.0691823899371069,0.00808526277104006,0.278764718033464,0.0144784468575189
"16",4,41,2460,0.434464541981567,0.0163409248992662,0.7283,0.11178247734139,0.0150406504065041,0.250594684041783,0.0265137943389466,0.409386137820267,0.0184928556194031,0.7263,0.0546623794212219,0.00691056910569106,0.252141603880689,0.0122699386503067
"17",4,40,2493,0.445897516289737,0.0179469805095019,0.7271,0.144578313253012,0.0192539109506619,0.252896152254861,0.0339823008849558,0.42434997318451,0.0203397067329105,0.7255,0.10126582278481,0.0128359406337746,0.254130524576621,0.0227839088643645
"18",3,43,2838,0.428180553740949,0.017201447823207,0.6916,0.127272727272727,0.0147991543340381,0.289141675284385,0.0265151515151515,0.388939418421389,0.0171276196549765,0.6888,0.0463576158940397,0.00493305144467935,0.291194060631058,0.0089171974522293
"19",5,41,2766,0.444581151392503,0.0182797446662032,0.7,0.138888888888889,0.0162689804772234,0.281211244315833,0.029126213592233,0.399181744047099,0.0194357764081661,0.6967,0.0412371134020619,0.00433839479392625,0.283654341332784,0.00785083415112856
"20",4,46,2907,0.448202271414157,0.0178599661196196,0.6851,0.139880952380952,0.0161678706570347,0.295943708609272,0.0289855072463768,0.417849552884085,0.017174039172136,0.6815,0.0366666666666667,0.00378396972824217,0.298556701030928,0.00685999376364203
"21",5,41,2574,0.488698377104041,0.0238109179263675,0.7169,0.118694362017804,0.0155400155400155,0.262237400393253,0.0274819649604947,0.476218292458436,0.0213961885694137,0.7151,0.0689655172413793,0.00854700854700855,0.26360913128809,0.0152091254752852
"22",4,46,2598,0.453117513420712,0.0175317945858701,0.7155,0.124620060790274,0.0157813702848345,0.264398717816151,0.02801503245644,0.433330398167948,0.0189599016105912,0.713,0.0526315789473684,0.00615858352578907,0.266295379537954,0.011026878015162
"23",5,38,2579,0.438597193797048,0.0156628635097322,0.7158,0.107462686567164,0.0139588987979837,0.263114330056906,0.0247083047357584,0.415469086084605,0.0175615820899161,0.7134,0.0385852090032154,0.00465296626599457,0.264939622252038,0.00830449826989619
"24",5,43,2772,0.454384621863175,0.0177164442666135,0.6981,0.124620060790274,0.0147907647907648,0.282390652466136,0.0264430828764915,0.430456276917165,0.0174683580178437,0.6951,0.0367892976588629,0.00396825396825397,0.284609834037728,0.00716379029632042
"25",4,40,2613,0.462453627496657,0.0174874302406992,0.7149,0.130434782608696,0.0160734787600459,0.265654060756355,0.0286201022146508,0.439082380949669,0.0169366309040746,0.7119,0.0410958904109589,0.00459242250287026,0.267923362175525,0.00826161790017212
"26",4,41,2769,0.470248825979699,0.0165922119754069,0.6993,0.128125,0.0148067894546768,0.281818181818182,0.0265458077047588,0.45605595570455,0.0169836739660693,0.6964,0.0412371134020619,0.00433369447453954,0.283963332990009,0.00784313725490196
"27",4,41,2675,0.442179106612767,0.0187687065256626,0.7093,0.141975308641975,0.017196261682243,0.271703183133526,0.0306768922974325,0.403624785649264,0.0180022108546458,0.7067,0.0671140939597315,0.00747663551401869,0.273654916512059,0.0134544231416078
"28",3,45,2791,0.490067927768687,0.0231654709360817,0.6996,0.185840707964602,0.022572554639914,0.282372425214781,0.0402555910543131,0.472251822054149,0.0162926120474126,0.695,0.0580204778156997,0.00609100680759584,0.285773153394458,0.0110246433203632
"29",4,41,2741,0.451458261615955,0.0211051176844455,0.7036,0.173020527859238,0.0215249908792412,0.277668495703489,0.0382868267358858,0.408665855715455,0.0190347889229015,0.7001,0.0784313725490196,0.00875592849325064,0.280276459665773,0.0157531998687233
"30",3,36,2604,0.433864167672962,0.0177939489917818,0.7134,0.110119047619048,0.0142089093701997,0.265625,0.0251700680272109,0.396292093000217,0.0171779456232781,0.7109,0.0385852090032154,0.00460829493087558,0.267519867891423,0.00823327615780446
"31",5,46,2630,0.460829176667616,0.0187915715062741,0.7155,0.1671826625387,0.020532319391635,0.266198201922083,0.0365729766339316,0.427231257273335,0.0168519205657952,0.7122,0.0724137931034483,0.00798479087452472,0.268692070030896,0.0143835616438356
"32",5,38,2574,0.436525231709459,0.0161411665368656,0.7169,0.114114114114114,0.0147630147630148,0.262335781524775,0.0261437908496732,0.414307538857484,0.0184923637969871,0.715,0.0605095541401274,0.00738150738150738,0.263782779269048,0.0131578947368421
"33",4,41,2869,0.430642716528861,0.0150342073807599,0.689,0.129230769230769,0.0146392471244336,0.292196382428941,0.026299311208516,0.407250579813001,0.0166512093521541,0.6859,0.0374149659863946,0.00383408853258975,0.294457036884401,0.00695542206765729
"34",3,39,2711,0.436433775627933,0.0174643128324739,0.7049,0.127329192546584,0.0151235706381409,0.27588344699318,0.0270359380151665,0.40536173025174,0.0179541149138623,0.7025,0.0570469798657718,0.00627074880118038,0.277674706246135,0.0112994350282486
"35",5,42,2596,0.470830501929171,0.0206498895867943,0.717,0.145454545454545,0.0184899845916795,0.263495346432265,0.0328092959671907,0.444815604931235,0.0193971035205936,0.7146,0.0784313725490196,0.00924499229583975,0.265318753868372,0.0165403170227429
"36",4,39,2416,0.452971568970576,0.0163153489970531,0.7334,0.106918238993711,0.0140728476821192,0.246023548853543,0.0248719824433065,0.436070998951281,0.0192995148025961,0.7323,0.0749185667752443,0.00951986754966887,0.246879191168885,0.0168931325743665
"37",4,43,2804,0.440923393723691,0.0174140386548403,0.6965,0.146788990825688,0.0171184022824536,0.284916778662256,0.030661130629192,0.417787367346091,0.0184577062738874,0.694,0.076158940397351,0.00820256776034237,0.286760156733347,0.0148100450740502
"38",4,40,2752,0.431232934400437,0.0176431819692562,0.7008,0.131901840490798,0.015625,0.280028943560058,0.0279402209226771,0.41491225536023,0.0208997281756367,0.6999,0.107255520504732,0.0123546511627907,0.280698130744604,0.0221570544151189
"39",4,42,2716,0.432106998047775,0.0170150210812444,0.7037,0.12,0.014359351988218,0.276692506459948,0.0256494574153239,0.407746699366567,0.0192603422881625,0.7022,0.0774193548387097,0.00883652430044183,0.27781217750258,0.015862524785195
"40",5,43,2511,0.440350507672207,0.0169365711236196,0.7231,0.116071428571429,0.015531660692951,0.255794701986755,0.0273972602739726,0.417577394710144,0.0193714868932942,0.7215,0.071875,0.00915969733174034,0.25702479338843,0.0162486753797245
"41",5,39,2418,0.456894412293089,0.0166968578978398,0.7305,0.0914454277286136,0.0128205128205128,0.247075872062933,0.0224882118244469,0.44169232703483,0.0193400495668701,0.7292,0.0552147239263804,0.00744416873449132,0.248087657639032,0.0131195335276968
"42",5,41,2540,0.457676181150487,0.0182569573327792,0.7208,0.118181818181818,0.0153543307086614,0.258634953464323,0.0271777003484321,0.432037624319796,0.0203463309133098,0.7182,0.0427631578947368,0.00511811023622047,0.260622937293729,0.00914205344585091
"43",4,38,2438,0.469451179247562,0.0209610200340713,0.733,0.150602409638554,0.0205086136177194,0.247000413736036,0.036101083032491,0.452622447394966,0.0236119769893584,0.7313,0.104761904761905,0.0135356849876948,0.248322147651007,0.0239738467126771
"44",4,44,2835,0.438628214901235,0.0161774044068212,0.6929,0.121794871794872,0.0134038800705467,0.288707679603633,0.0241499841118526,0.414377037225202,0.0180567321106722,0.6911,0.0680272108843537,0.00705467372134039,0.29002678755409,0.0127836369447108
"45",4,40,2545,0.446626183884765,0.0191482075188062,0.7213,0.142011834319527,0.018860510805501,0.258435106603188,0.0332986472424558,0.41842883625165,0.0199500227043354,0.719,0.0793650793650794,0.00982318271119843,0.260196179659267,0.0174825174825175
"46",5,47,2827,0.433128326469789,0.0172331323500774,0.6946,0.13968253968254,0.0155642023346304,0.287351574599897,0.0280076384468491,0.408060250674064,0.018541293693024,0.6928,0.0875420875420875,0.00919702865228157,0.288673606101206,0.0166453265044814
