"","min","max","links","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"15",5,44,3151,0.446196062339589,0.00587287786817535,0.6776,0.138613861386139,0.00444303395747382,0.316900697040105,0.00861008610086101,0.392321120740016,0.00478772805259983,0.6764,0.0224719101123595,0.000634719136781974,0.317727777217233,0.00123456790123457
"16",3,50,3192,0.437117196455941,0.00470183185207238,0.6746,0.16304347826087,0.00469924812030075,0.320649979814291,0.00913520097442144,0.38500717679616,0.00416616906739146,0.6734,0.0375,0.00093984962406015,0.321471774193548,0.00183374083129584
"17",3,48,3194,0.462401578714149,0.0031817879038588,0.6737,0.151515151515152,0.00469630557294928,0.321078678921321,0.00911023382933495,0.458177404672803,0.0045,0.6728,0.0666666666666667,0.00187852222917971,0.321695257315843,0.00365408038976857
"18",3,46,3205,0.432701722684568,0.00485552622872257,0.6729,0.141304347826087,0.00405616224648986,0.322163907953169,0.00788595693054292,0.370826187834157,0.00395,0.6716,0,0,0.32305211168229,0
"19",4,51,3146,0.424902888559346,0.00441676592807572,0.6789,0.157894736842105,0.00476795931341386,0.316102978293791,0.00925640234495526,0.39181038575689,0.00470539776976313,0.6778,0.0476190476190476,0.00127145581691036,0.31686163775716,0.00247678018575851
"20",6,52,3309,0.433309413478052,0.00594957444957454,0.6633,0.204081632653061,0.00604412209126624,0.332155120177742,0.0117405341943058,0.36221267255359,0.00445840193363323,0.6617,0.0487804878048781,0.00120882441825325,0.333232506553741,0.00235918608080212
"21",5,49,3298,0.421718506875074,0.00484506181166513,0.665,0.217391304347826,0.00606428138265616,0.330843762616068,0.0117994100294985,0.359045099854255,0.00392872457203485,0.6634,0.0526315789473684,0.00121285627653123,0.33192261185006,0.002371072910492
"22",2,50,3155,0.474880349787502,0.00630955228274231,0.6792,0.208791208791209,0.00602218700475436,0.316479967706126,0.0117067159581023,0.431673568326432,0.0038,0.6777,0.0526315789473684,0.00126782884310618,0.31751309955663,0.0024760136180749
"23",4,52,3414,0.457936367940078,0.00719944669395975,0.6532,0.193181818181818,0.00497949619214997,0.34271589991929,0.00970873786407767,0.376199933823096,0.00393243227483056,0.6517,0.0273972602739726,0.000585823081429408,0.343709076256674,0.00114711786636077
"24",4,51,3215,0.44532212605357,0.00584883012793869,0.6735,0.228260869565217,0.00653188180404355,0.322365765038353,0.0127003326277593,0.364655690003994,0.00378423226306437,0.6716,0.0273972602739726,0.000622083981337481,0.323662737987307,0.00121654501216545
"25",4,51,3214,0.466238298582318,0.00784590779077675,0.6728,0.21,0.00653391412570006,0.322525252525253,0.0126735063367532,0.396850120063281,0.00428962682007942,0.671,0.0365853658536585,0.000933416303671437,0.323754789272031,0.00182038834951456
"26",4,44,3025,0.448604896489944,0.00544847122419428,0.691,0.157894736842105,0.00495867768595041,0.303886925795053,0.00961538461538462,0.384735673930589,0.00405,0.6896,0.0123456790123457,0.000330578512396694,0.304869442484121,0.000643915003219575
"27",4,45,3039,0.414379086357572,0.00367431988225465,0.6889,0.108695652173913,0.00329055610398157,0.305712555510698,0.00638773554774832,0.386285598868915,0.0042,0.6881,0.0238095238095238,0.000658111220796315,0.306272690601049,0.00128081972462376
"28",4,48,3169,0.39998456476798,0.00394511283904846,0.6762,0.129032258064516,0.0037866834963711,0.318663571212274,0.00735744941753525,0.383299854238532,0.00511773087741666,0.6755,0.0581395348837209,0.00157778479015462,0.319144643937866,0.00307219662058372
"29",5,44,2981,0.455836725822433,0.00576218396205739,0.6966,0.202247191011236,0.00603824220060382,0.298960750681061,0.0117263843648208,0.38013374875564,0.00416781116453921,0.6952,0.0533333333333333,0.00134183160013418,0.299949622166247,0.00261780104712042
"30",6,47,3264,0.476333882311015,0.00446648867332191,0.6676,0.173913043478261,0.00490196078431373,0.327815906338312,0.00953516090584029,0.467324235956049,0.00459654265452356,0.6663,0.0379746835443038,0.000919117647058824,0.328696703961294,0.00179479509422674
"31",4,48,3088,0.469852311314017,0.00593486362183995,0.6856,0.208333333333333,0.00647668393782383,0.309773828756058,0.0125628140703518,0.455715178732538,0.00495502785508124,0.6841,0.0617283950617284,0.00161917098445596,0.310817622744228,0.00315556958030925
"32",4,44,3122,0.434240681223589,0.00472013256262752,0.681,0.138297872340426,0.00416399743754004,0.313850191802948,0.00808457711442786,0.387130290236557,0.00447304141591631,0.6799,0.0240963855421687,0.000640614990390775,0.314611273570636,0.00124804992199688
"33",2,47,3220,0.455967092913464,0.0203465017000304,0.6725,0.210526315789474,0.0062111801242236,0.323069156991418,0.0120663650075415,0.371502361720507,0.00428063261054503,0.6708,0.0384615384615385,0.00093167701863354,0.324228986091514,0.00181928441479685
"34",6,49,3191,0.446364825695008,0.00569340143259151,0.6765,0.260869565217391,0.00752115324349734,0.319640694388373,0.0146207736826074,0.37689178877196,0.00370426332681133,0.6744,0.0422535211267606,0.000940144155437167,0.321079665625944,0.00183936235438381
"35",4,44,2976,0.422693619835025,0.0047936145682947,0.6952,0.13265306122449,0.00436827956989247,0.299232478287215,0.00845803513337671,0.370854405289559,0.00461855954443017,0.6941,0.0229885057471264,0.000672043010752688,0.300010087763543,0.00130590923930787
"36",5,57,3411,0.443960797652676,0.00628487885314005,0.6535,0.21875,0.00615655233069481,0.342285945072698,0.0119760479041916,0.353967188281015,0.00396986116794174,0.6516,0.025974025974026,0.00058633831720903,0.343545298800766,0.00114678899082569
"37",3,49,3322,0.43298571833124,0.0054976947602248,0.6624,0.212765957446809,0.00602046959662854,0.333333333333333,0.0117096018735363,0.352505292872265,0.0037,0.6604,0,0,0.334676606890993,0
"38",5,50,3170,0.440008819946493,0.0056466147552073,0.6771,0.195876288659794,0.00599369085173502,0.318186408159144,0.0116314661769207,0.37666841737933,0.00434153750414172,0.6755,0.037037037037037,0.000946372239747634,0.319286218368787,0.0018455859735466
"39",5,48,3141,0.442303062100293,0.0047389618508463,0.6789,0.127659574468085,0.00382043935052531,0.315869170199879,0.00741885625965997,0.39306620912394,0.00415,0.6778,0.0120481927710843,0.000318369945877109,0.316628012503781,0.000620347394540943
"40",3,47,3148,0.439700065563481,0.00597634512697011,0.6795,0.193548387096774,0.00571791613722999,0.315938225497123,0.0111076828139463,0.362244715583869,0.00397943800698381,0.6779,0.025974025974026,0.000635324015247776,0.317041217373778,0.00124031007751938
"41",6,58,3413,0.42336948480747,0.00472073767554354,0.6527,0.166666666666667,0.00439496044535599,0.342885973763875,0.00856408792463603,0.357160638844739,0.00392532663129883,0.6513,0.0131578947368421,0.000292997363023733,0.343812978637646,0.00057323015190599
"42",3,47,3273,0.429468533935387,0.0044526169573505,0.6658,0.129032258064516,0.00366636113657195,0.329161199152115,0.0071301247771836,0.378102926337033,0.00405,0.6646,0,0,0.329972779514064,0
"43",3,51,3268,0.486915424763837,0.00500847935203338,0.6665,0.154639175257732,0.00458996328029376,0.328486317277593,0.00891530460624071,0.478351036924633,0.0041,0.665,0,0,0.329501915708812,0
"44",4,50,3139,0.435315972619012,0.00491842551541534,0.6793,0.16,0.00509716470213444,0.315454545454545,0.00987959246681074,0.393864526811597,0.00453392203684578,0.678,0.0344827586206897,0.000955718381650207,0.316352264702915,0.0018598884066956
"45",6,51,3314,0.442446944396138,0.00525996484061122,0.663,0.181818181818182,0.00482800241400121,0.33272800645682,0.00940623162845385,0.383603208240185,0.00403178802465643,0.6616,0.027027027027027,0.000603500301750151,0.333669151722748,0.00118063754427391
"46",5,48,3096,0.454225491743402,0.00601021684441284,0.6858,0.25531914893617,0.00775193798449612,0.310115081768625,0.0150470219435737,0.390992777506262,0.00414636176167329,0.684,0.0789473684210526,0.00193798449612403,0.31136638452237,0.00378310214375788
